img,default
_QCcounts|_QCimg|_QCimpedance|_QClineNoise|_QCbridge|_QCresponseAccuracy|_QCrestAlpha|_QCresponseTime|_QCinterp,1
_AODbutterflyStd|_AODbutterflyTrg|_AODbutterflyNov|_AODPzTrg|_AODCzNov|_AODTopoTrg|_AODTopoNov,0
_VODbutterflyStd|_VODbutterflyTrg|_VODbutterflyNov|_VODPzTrg|_VODCzNov|_VODTopoTrg|_VODTopoNov,0
_MMNbutterflyStd|_MMNbutterflyDev|_MMNFCzDev|_MMNTopoDev|_ASSR,0
_QCcounts,0
_QCimg,0
_QCimpedance,0
_QClineNoise,0
_QCbridge,0
_QCresponseAccuracy,0
_QCrestAlpha,0
_QCresponseTime,0
_QCinterp,0
_AODbutterflyStd,0
_AODbutterflyTrg,0
_AODbutterflyNov,0
_AODPzTrg,0
_AODCzNov,0
_AODTopoTrg,0
_AODTopoNov,0
_VODbutterflyStd,0
_VODbutterflyTrg,0
_VODbutterflyNov,0
_VODPzTrg,0
_VODCzNov,0
_VODTopoTrg,0
_VODTopoNov,0
_MMNbutterflyStd,0
_MMNbutterflyDev,0
_MMNFCzDev,0
_MMNTopoDev,0
_ASSR,0
